,name,mass,fall,year,reclat,reclong
16392,Hoba,60000000.0,Found,01/01/1920,-19.58333,17.91667
5373,Cape York,58200000.0,Found,01/01/1818,76.13333,-64.93333
5365,Campo del Cielo,50000000.0,Found,12/22/1575,-27.46667,-60.583330000000004
5370,Canyon Diablo,30000000.0,Found,01/01/1891,35.05,-111.03333
3455,Armanty,28000000.0,Found,01/01/1898,47.0,88.0
12613,Gibeon,26000000.0,Found,01/01/1836,-25.5,18.0
5468,Chupaderos,24300000.0,Found,01/01/1852,27.0,-105.1
26297,Mundrabilla,24000000.0,Found,01/01/1911,-30.78333,127.55
5016,Bacubirito,22000000.0,Found,01/01/1863,26.2,-107.83333
22921,Mbosi,16000000.0,Found,01/01/1930,-9.11667,33.06667
38317,Willamette,15500000.0,Found,01/01/1902,45.36667,-122.58333
26174,Morito,10100000.0,Found,01/01/1600,27.05,-105.43333
26338,Nantan,9500000.0,Found,01/01/1958,25.1,107.7
5613,Cranbourne,8600000.0,Found,01/01/1854,-38.1,145.3
36882,Santa Catharina,7000000.0,Found,01/01/1875,-26.21667,-48.6
5083,Bendegó,5360000.0,Found,01/01/1784,-10.11667,-39.2
5201,Brenham,4300000.0,Found,01/01/1882,37.5825,-99.16360999999999
38206,Vaca Muerta,3828000.0,Found,01/01/1861,-25.75,-70.5
45684,Youndegin,3800000.0,Found,01/01/1884,-32.1,117.71667
38391,Xifu,3000000.0,Found,01/01/2004,36.3,120.48333000000001
1567,Al Haggounia 001,3000000.0,Found,01/01/2006,27.5,-12.5
38056,Toluca,3000000.0,Found,01/01/1776,19.566670000000002,-99.56667
45677,Yingde,3000000.0,Found,01/01/1964,24.2,113.4
30977,Old Woman,2753000.0,Found,01/01/1976,34.46667,-115.23333000000001
38238,Wabar,2550000.0,Found,01/01/1863,21.49972,50.47222
16414,Huckitta,2300000.0,Found,01/01/1924,-22.366670000000003,135.76667
26349,Navajo,2184000.0,Found,01/01/1921,35.33333,-109.5
5488,Coahuila,2100000.0,Found,01/01/1837,28.7,-102.73333000000001
45707,Zhaoping,2000000.0,Found,01/01/1983,24.23333,111.18333
