name,recclass,mass (g),fall,year,reclat,reclong
Mount Wisting 95300,H3.3,2733,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95301,L6,250.2,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95302,L6,236.2,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95303,H5,113.2,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95304,L4,40.4,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95305,L6,3.92E+16,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95306,L6,11.2,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95307,L3.8,34.1,Found,1/1/1995,-86450000,-165433330
Mount Wisting 95308,LL6,123.2,Found,1/1/1995,-86450000,-165433330
Mount Prestrud 95400,H5,2.4318E+16,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95401,L3.4,186.5,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95402,H5,236.3,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95403,L6,199.1,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95404,R3,39.5,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95405,H5,31.9,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95406,L6,7.24E+16,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95407,H5,45.2,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95408,L6,48.6,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95409,L6,3.32E+16,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95410,R3,41.7,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95411,R3,43.7,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95412,R3,14.6,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95413,H5,106.3,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95414,H4,93.2,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95415,L6,82.5,Found,1/1/1995,-86566670,-165116670
Mount Prestrud 95416,L6,23.7,Found,1/1/1995,-86566670,-165116670
Aggie Creek,"Iron, IIIAB",43000,Found,1/1/1942,64883330,-163166670
Cold Bay,"Pallasite, PES",320,Found,1/1/1921,55183330,-162550000
Honolulu,L5,2420,Fell,1/1/1825,21300000,-157866670
Palolo Valley,H5,682,Fell,1/1/1949,21300000,-157783330
Mount Howe 88400,H6,2.1042E+16,Found,1/1/1988,-87366670,-149500000
Mount Howe 88401,Eucrite-br,1622.7,Found,1/1/1988,-87366670,-149500000
Mount Howe 88402,H5,21.9,Found,1/1/1988,-87366670,-149500000
Mount Howe 88403,"Iron, ungrouped",2.4807E+16,Found,1/1/1988,-87366670,-149500000
Gardner Ridge 98400,L6,77.8,Found,1/1/1998,-86933330,-148550000
Gardner Ridge 98401,H4,5.3,Found,1/1/1998,-86933330,-148550000
Scott Glacier 98200,L4,311.5,Found,1/1/1998,-87033330,-148000000
Scott Glacier 98201,L6,199,Found,1/1/1998,-87033330,-148000000
Scott Glacier 98202,L6,84.3,Found,1/1/1998,-87033330,-148000000
Hope Creek,LL6,9830,Found,1/1/1998,65383330,-146266670
Klein Glacier 98300,EH3,33.6,Found,1/1/1998,-86933330,-144300000
Graves Nunataks 95200,L5,25066.1,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95201,H5,2990.5,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95202,H5,2006.4,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95203,L5,1.2059E+16,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95204,H5,1173.7,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95205,Ureilite,1459.8,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95206,L6,933.2,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95207,H5,914.2,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95208,H3.7,778.3,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95209,Lodranite,948.8,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95210,H5,550.4,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95211,H6,5.188E+16,Found,1/1/1995,-86716670,-141500000
Graves Nunataks 95212,H5,444.1,Found,1/1/1995,-86716670,-141500000
